,Cash Rate,CPI YoY,Savings Ratio,Consumer Spending,Unemployment Rate,Avg. Weekly Earnings,Mortgage Lending Rates,Unit Labour Cost,Covid_dummy
2006-06-30,5.75,2.8,-2.4,149126805920.7794,4.9,819.7,7.57,77.3,0.0
2006-09-30,6.0,2.9,0.3,150803827339.8729,4.8,830.2,7.82,78.0,0.0
2006-12-31,6.25,2.9,0.7,152753452613.30438,4.6,837.4,8.07,80.0,0.0
2007-03-31,6.25,2.7,-0.1,156002828069.0235,4.5,857.1,8.07,79.9,0.0
2007-06-30,6.25,2.7,1.0,157301016051.5728,4.3,858.5,8.07,81.8,0.0
2007-09-30,6.5,2.9,-0.3,159967691004.8962,4.2,871.1,8.32,82.3,0.0
2007-12-31,6.75,3.4,0.1,161838425191.5422,4.3,873.2,8.57,83.3,0.0
2008-03-31,7.25,4.1,1.5,162596873164.4997,4.1,886.6,9.34,83.4,0.0
2008-06-30,7.25,4.3,2.6,161872793585.78537,4.2,885.0,9.46,85.7,0.0
2008-09-30,7.0,4.6,3.8,161272908886.26797,4.3,901.8,9.36,85.9,0.0
2008-12-31,5.25,4.2,9.7,160930006043.7053,4.5,909.5,6.84,86.4,0.0
2009-03-31,3.25,3.9,7.6,161611125129.6157,5.7,921.1,5.84,84.8,0.0
2009-06-30,3.0,3.6,8.9,164198908996.15353,5.8,918.6,5.78,84.0,0.0
2009-09-30,3.0,3.2,5.7,164919083075.52206,5.7,940.0,5.78,85.2,0.0
2009-12-31,3.5,3.2,5.5,167162401899.75894,5.5,955.0,6.64,85.8,0.0
2010-03-31,3.75,3.0,6.1,167985681161.857,5.3,973.8,6.89,86.2,0.0
2010-06-30,4.5,2.7,5.0,170439115850.8988,5.1,977.1,7.39,88.6,0.0
2010-09-30,4.5,2.5,6.2,172135664766.72137,5.1,978.4,7.39,90.2,0.0
2010-12-31,4.5,2.2,7.6,174028269749.70392,5.0,996.1,7.79,91.4,0.0
2011-03-31,4.75,2.3,8.2,175061664876.60693,4.9,1011.8,7.79,92.6,0.0
2011-06-30,4.75,2.7,7.6,176239563479.3051,4.9,1015.2,7.79,93.0,0.0
2011-09-30,4.75,2.3,8.1,177359660691.6852,5.2,1024.2,7.79,93.4,0.0
2011-12-31,4.5,2.6,9.0,178054839575.2405,5.2,1033.7,7.3,93.2,0.0
2012-03-31,4.25,2.2,7.0,180566075654.60037,5.2,1056.2,7.39,93.9,0.0
2012-06-30,3.75,2.0,7.8,181338583425.2028,5.2,1053.2,6.83,93.9,0.0
2012-09-30,3.5,2.4,5.3,181814273245.52325,5.4,1053.2,6.83,93.0,0.0
2012-12-31,3.25,2.3,6.5,182107185696.45947,5.4,1081.3,6.44,93.8,0.0
2013-03-31,3.0,2.2,7.1,183131988724.80167,5.6,1081.3,6.44,93.4,0.0
2013-06-30,2.75,2.2,7.0,183637360340.15027,5.7,1105.0,6.18,94.2,0.0
2013-09-30,2.5,2.3,6.6,185194873479.2618,5.6,1105.0,5.93,94.3,0.0
2013-12-31,2.5,2.6,7.4,186072048632.33215,5.8,1114.2,5.93,94.9,0.0
2014-03-31,2.5,2.6,7.4,187469436298.2652,5.8,1114.2,5.93,94.2,0.0
2014-06-30,2.5,2.9,8.2,188272406963.76505,6.0,1123.0,5.93,95.0,0.0
2014-09-30,2.5,2.5,7.6,189979110177.88675,6.1,1123.0,5.93,95.3,0.0
2014-12-31,2.5,2.2,7.8,191142167883.07083,6.1,1128.7,5.93,95.5,0.0
2015-03-31,2.25,2.3,7.4,191899053656.29,6.1,1128.7,5.67,94.6,0.0
2015-06-30,2.0,2.2,7.7,193051175963.30585,6.0,1136.9,5.46,95.8,0.0
2015-09-30,2.0,2.1,7.0,194734446181.35263,6.2,1136.9,5.46,95.9,0.0
2015-12-31,2.0,2.1,5.6,195591312737.8247,5.8,1145.7,5.63,96.3,0.0
2016-03-31,2.0,1.7,5.5,197157417975.49704,5.7,1145.7,5.63,95.7,0.0
2016-06-30,1.75,1.7,5.9,198026001030.0066,5.8,1160.9,5.39,95.4,0.0
2016-09-30,1.5,1.7,5.8,199276541920.53696,5.6,1160.9,5.26,96.0,0.0
2016-12-31,1.5,1.6,5.4,200681740585.16165,5.8,1163.5,5.26,94.7,0.0
2017-03-31,1.5,1.9,5.5,201467527053.5399,5.9,1163.5,5.28,94.9,0.0
2017-06-30,1.5,1.8,4.8,202739938740.40683,5.6,1179.0,5.23,96.0,0.0
2017-09-30,1.5,1.8,4.5,204106082411.57336,5.5,1179.0,5.22,96.6,0.0
2017-12-31,1.5,1.8,5.0,206064299783.56567,5.5,1191.5,5.22,97.5,0.0
2018-03-31,1.5,1.9,4.8,207137531003.79593,5.5,1191.5,5.22,97.4,0.0
2018-06-30,1.5,1.9,4.7,208616934155.99115,5.4,1207.4,5.22,97.5,0.0
2018-09-30,1.5,1.8,5.0,208946558300.77808,5.0,1207.4,5.31,98.4,0.0
2018-12-31,1.5,1.8,5.8,209494109309.0615,5.0,1225.3,5.34,99.5,0.0
2019-03-31,1.5,1.6,6.2,209901843440.7647,5.0,1225.3,5.37,100.2,0.0
2019-06-30,1.25,1.6,5.2,210815730287.68573,5.2,1237.9,5.15,101.5,0.0
2019-09-30,1.0,1.6,7.8,210820416886.9007,5.2,1237.9,4.94,102.0,0.0
2019-12-31,0.75,1.6,6.8,211778826426.364,5.1,1257.0,4.8,102.6,0.0
2020-03-31,0.5,1.8,9.3,208948901600.38556,5.2,1257.0,4.52,102.8,1.0
2020-06-30,0.25,1.2,23.6,182605527412.98563,7.4,1304.7,4.52,93.5,1.0
2020-09-30,0.25,1.2,20.7,196873878722.9908,6.9,1304.7,4.52,93.0,1.0
2020-12-31,0.1,1.2,14.4,206241609453.8657,6.6,1280.3,4.52,100.0,1.0
2021-03-31,0.1,1.1,14.0,208994205392.797,5.6,1280.3,4.52,102.2,1.0
2021-06-30,0.1,1.6,11.6,211048498048.69638,4.9,1305.8,4.52,104.8,1.0
2021-09-30,0.1,2.1,19.3,200711422380.18988,4.6,1305.8,4.52,106.5,1.0
2021-12-31,0.1,2.6,12.9,213484748540.61658,4.2,1328.9,4.52,105.2,1.0
2022-03-31,0.1,3.7,11.3,217448830376.6201,4.0,1328.9,4.52,106.4,0.0
2022-06-30,0.85,4.9,8.1,222194793181.656,3.5,1344.7,5.27,108.4,0.0
2022-09-30,2.35,6.1,7.1,223905401895.12354,3.5,1344.7,6.77,110.8,0.0
2022-12-31,2.85,6.9,4.4,224550590387.0524,3.5,1378.6,7.52,112.5,0.0
2023-03-31,3.6,6.6,3.7,225063773001.09265,3.5,1378.6,8.02,114.8,0.0
2023-06-30,4.1,5.9,3.7,225063773001.09265,3.5,1399.1,8.52,114.8,0.0
2023-09-30,4.114280381062461,5.557535265787719,5.0266963260212245,225880258051.55246,3.397530889295508,1401.440043500549,8.204586272080993,116.03493343701273,
2023-12-31,4.880370513361511,5.160784160443487,4.285162466413831,229075974784.44055,3.1003052872104213,1412.0144287542598,8.288940749759421,118.0112322144546,
